Date;Produit;CA;Marge
20220101;LL1100;28050;8976
20220101;LL1200;105600;31680
20220101;LV1620;128700;43758
20220101;SL1000;105600;36960
20220101;F120;136950;47949
20220101;R080;28050;7293
20220101;GP700;30030;7524
20220101;C470;103950;31185
20220101;RC3000p;39600;10296
20220101;C260;83820;28512
20220201;LL1100;41250;8679
20220201;LL1200;44946;8547
20220201;LV1620;42240;8877
20220201;SL1000;41415;9537
20220201;F120;39699;9141
20220201;R080;45969;9207
20220201;GP700;42009;10494
20220201;C470;42636;9801
20220201;RC3000p;42306;8877
20220201;C260;44022;11022
20220301;LL1100;31020;6204
20220301;LL1200;31680;5709
20220301;LV1620;30063;6930
20220301;SL1000;30921;5577
20220301;F120;31086;5610
20220301;R080;31086;7458
20220301;GP700;30987;7425
20220301;C470;32274;5808
20220301;RC3000p;30954;5577
20220301;C260;29931;6897
20220401;LL1100;30789;5841
20220401;LL1200;32934;7260
20220401;LV1620;31845;6369
20220401;SL1000;31185;5940
20220401;F120;32736;5907
20220401;R080;30096;7524
20220401;GP700;32274;6138
20220401;C470;31812;7953
20220401;RC3000p;28974;6369
20220401;C260;31185;7491
20220501;LL1100;28248;7062
20220501;LL1200;32010;6732
20220501;LV1620;26961;6468
20220501;SL1000;29238;5841
20220501;F120;27753;6930
20220501;R080;32043;8019
20220501;GP700;29832;5379
20220501;C470;29766;7458
20220501;RC3000p;32703;8184
20220501;C260;32637;6534
20220601;LL1100;27258;6006
20220601;LL1200;32934;7590
20220601;LV1620;37389;7854
20220601;SL1000;31911;7029
20220601;F120;38148;8778
20220601;R080;45903;10098
20220601;GP700;36927;8118
20220601;C470;43230;8646
20220601;RC3000p;43164;9075
20220601;C260;39699;7953
20220701;LL1100;50391;10065
20220701;LL1200;48972;9801
20220701;LV1620;53658;10725
20220701;SL1000;50490;12639
20220701;F120;62436;13101
20220701;R080;49599;12408
20220701;GP700;53889;12936
20220701;C470;58278;13992
20220701;RC3000p;49665;9933
20220701;C260;50160;11022
20220801;LL1100;44814;10758
20220801;LL1200;45507;8184
20220801;LV1620;42438;10197
20220801;SL1000;47520;10923
20220801;F120;41481;7887
20220801;R080;46035;8283
20220801;GP700;43131;10362
20220801;C470;44583;11154
20220801;RC3000p;45276;10857
20220801;C260;46596;10263
20220901;LL1100;52338;12045
20220901;LL1200;49467;9405
20220901;LV1620;60258;14454
20220901;SL1000;54714;10956
20220901;F120;64548;12903
20220901;R080;51777;11913
20220901;GP700;52932;9537
20220901;C470;49434;9405
20220901;RC3000p;61743;11121
20220901;C260;51216;9207
20221001;LL1100;35904;7194
20221001;LL1200;37521;7491
20221001;LV1620;34683;6930
20221001;SL1000;42900;9009
20221001;F120;36036;7194
20221001;R080;35937;8250
20221001;GP700;33627;6732
20221001;C470;36993;6666
20221001;RC3000p;38643;7326
20221001;C260;32109;6435
20221101;LL1100;44847;10329
20221101;LL1200;37587;6765
20221101;LV1620;39369;9834
20221101;SL1000;37752;9075
20221101;F120;38742;9306
20221101;R080;47685;10494
20221101;GP700;34584;8316
20221101;C470;36795;8085
20221101;RC3000p;48774;9768
20221101;C260;34353;7557
20221201;LL1100;42768;10263
20221201;LL1200;42075;10098
20221201;LV1620;46398;9273
20221201;SL1000;42669;7689
20221201;F120;45243;9504
20221201;R080;42207;10131
20221201;GP700;43428;10428
20221201;C470;44451;9768
20221201;RC3000p;36894;9240
20221201;C260;46266;8778
