Date;Produit;CA;Marge
20220101;LL1100;41250;10329
20220101;LL1200;102300;28644
20220101;LV1620;95700;26796
20220101;SL1000;106920;31020
20220101;F120;133650;36102
20220101;R080;28050;7590
20220101;GP700;13200;3432
20220101;C470;95700;29667
20220101;RC3000p;37950;12903
20220101;C260;80850;22638
20220201;LL1100;42999;10329
20220201;LL1200;40227;9669
20220201;LV1620;41811;9207
20220201;SL1000;45309;11319
20220201;F120;42306;10164
20220201;R080;43725;8745
20220201;GP700;45507;9570
20220201;C470;45210;8151
20220201;RC3000p;43428;10428
20220201;C260;42438;8052
20220301;LL1100;31053;7128
20220301;LL1200;31878;6369
20220301;LV1620;31317;5940
20220301;SL1000;32076;8019
20220301;F120;31185;7788
20220301;R080;30591;6435
20220301;GP700;30063;7524
20220301;C470;31548;5676
20220301;RC3000p;30426;5478
20220301;C260;32340;8085
20220401;LL1100;29667;6831
20220401;LL1200;32868;5907
20220401;LV1620;29568;7095
20220401;SL1000;32769;5907
20220401;F120;28578;5709
20220401;R080;30723;5841
20220401;GP700;29964;6897
20220401;C470;28710;5181
20220401;RC3000p;26631;4785
20220401;C260;27984;5313
20220501;LL1100;28050;5907
20220501;LL1200;29172;5247
20220501;LV1620;27885;5313
20220501;SL1000;31878;6369
20220501;F120;32868;7227
20220501;R080;30294;6963
20220501;GP700;29073;5511
20220501;C470;31152;7161
20220501;RC3000p;27753;6369
20220501;C260;28545;6270
20220601;LL1100;41481;8712
20220601;LL1200;40359;9273
20220601;LV1620;36399;7293
20220601;SL1000;40326;8052
20220601;F120;34452;6897
20220601;R080;30360;6996
20220601;GP700;43890;8349
20220601;C470;31977;7689
20220601;RC3000p;26664;6402
20220601;C260;29403;7359
20220701;LL1100;60357;15081
20220701;LL1200;55440;11088
20220701;LV1620;55473;13860
20220701;SL1000;54978;13200
20220701;F120;60060;10824
20220701;R080;62205;12441
20220701;GP700;57486;12639
20220701;C470;48675;10230
20220701;RC3000p;52470;13134
20220701;C260;60687;13365
20220801;LL1100;44286;8844
20220801;LL1200;43362;9108
20220801;LV1620;44121;8382
20220801;SL1000;41877;9636
20220801;F120;46662;10263
20220801;R080;44616;8910
20220801;GP700;46563;10230
20220801;C470;46233;11550
20220801;RC3000p;41448;7887
20220801;C260;44022;11022
20220901;LL1100;54120;10824
20220901;LL1200;46200;10626
20220901;LV1620;50127;10527
20220901;SL1000;63030;13233
20220901;F120;63921;15345
20220901;R080;63723;15939
20220901;GP700;62469;15609
20220901;C470;49137;9339
20220901;RC3000p;60324;13266
20220901;C260;65274;15015
20221001;LL1100;33528;6699
20221001;LL1200;31119;6534
20221001;LV1620;35013;6666
20221001;SL1000;42900;8580
20221001;F120;38412;6930
20221001;R080;34353;7887
20221001;GP700;32505;7161
20221001;C470;36432;7656
20221001;RC3000p;32571;5874
20221001;C260;39600;8316
20221101;LL1100;39567;7128
20221101;LL1200;44022;8811
20221101;LV1620;47025;11286
20221101;SL1000;35475;8514
20221101;F120;39864;9174
20221101;R080;35937;7557
20221101;GP700;48312;9174
20221101;C470;46134;10626
20221101;RC3000p;43527;9999
20221101;C260;31416;6600
20221201;LL1100;44880;8976
20221201;LL1200;36234;7986
20221201;LV1620;34881;8712
20221201;SL1000;34221;6171
20221201;F120;34188;7194
20221201;R080;39468;9075
20221201;GP700;48213;9636
20221201;C470;44616;11154
20221201;RC3000p;43362;8679
20221201;C260;48246;9174
