Date;Produit;CA;Marge
20220101;LL1100;39600;11088
20220101;LL1200;82500;22275
20220101;LV1620;148500;40095
20220101;SL1000;118800;29700
20220101;F120;158400;41184
20220101;R080;33000;8580
20220101;GP700;16500;5445
20220101;C470;105600;34848
20220101;RC3000p;39600;13860
20220101;C260;79200;21384
20220201;LL1100;43395;8250
20220201;LL1200;40953;9834
20220201;LV1620;41019;9834
20220201;SL1000;42933;8151
20220201;F120;41349;8283
20220201;R080;45243;9966
20220201;GP700;39996;9603
20220201;C470;42504;9768
20220201;RC3000p;41745;10428
20220201;C260;40953;7788
20220301;LL1100;31911;6699
20220301;LL1200;31845;7953
20220301;LV1620;30096;6633
20220301;SL1000;30987;7128
20220301;F120;31020;6501
20220301;R080;30030;5709
20220301;GP700;31152;7788
20220301;C470;29865;5676
20220301;RC3000p;30492;7029
20220301;C260;30195;5445
20220401;LL1100;30822;5544
20220401;LL1200;29898;5676
20220401;LV1620;31548;5676
20220401;SL1000;27951;5016
20220401;F120;29568;5907
20220401;R080;30195;6336
20220401;GP700;32241;7095
20220401;C470;31614;6336
20220401;RC3000p;31977;6699
20220401;C260;31647;6633
20220501;LL1100;32043;8019
20220501;LL1200;31086;6204
20220501;LV1620;29700;7128
20220501;SL1000;29172;6996
20220501;F120;31482;5973
20220501;R080;28215;6501
20220501;GP700;26400;6072
20220501;C470;28677;5148
20220501;RC3000p;28842;6336
20220501;C260;28743;6600
20220601;LL1100;42108;9669
20220601;LL1200;42339;10593
20220601;LV1620;42867;10725
20220601;SL1000;45804;10527
20220601;F120;34353;7887
20220601;R080;35706;8217
20220601;GP700;31053;5577
20220601;C470;37818;8712
20220601;RC3000p;46101;8745
20220601;C260;33165;7293
20220701;LL1100;58476;11121
20220701;LL1200;46299;10659
20220701;LV1620;55143;13233
20220701;SL1000;62040;12408
20220701;F120;54318;10329
20220701;R080;48345;8712
20220701;GP700;59994;13200
20220701;C470;61710;11715
20220701;RC3000p;59037;14157
20220701;C260;54912;9900
20220801;LL1100;46431;8811
20220801;LL1200;47784;9075
20220801;LV1620;46101;9207
20220801;SL1000;46332;9273
20220801;F120;43329;7788
20220801;R080;46893;9372
20220801;GP700;46398;8349
20220801;C470;44649;9834
20220801;RC3000p;46629;10263
20220801;C260;47091;8943
20220901;LL1100;49665;11913
20220901;LL1200;46563;8382
20220901;LV1620;54747;13134
20220901;SL1000;63987;12804
20220901;F120;62799;14454
20220901;R080;47850;11979
20220901;GP700;61644;13563
20220901;C470;50391;10065
20220901;RC3000p;63129;13266
20220901;C260;59103;11220
20221001;LL1100;32604;5874
20221001;LL1200;32538;5841
20221001;LV1620;31911;7656
20221001;SL1000;42900;10296
20221001;F120;37686;8283
20221001;R080;31845;6369
20221001;GP700;34089;7854
20221001;C470;34221;6831
20221001;RC3000p;36069;9009
20221001;C260;38973;11682
20221101;LL1100;47520;9966
20221101;LL1200;40953;7788
20221101;LV1620;45540;11385
20221101;SL1000;40359;9702
20221101;F120;44121;9273
20221101;R080;41844;8778
20221101;GP700;41745;7920
20221101;C470;49368;10362
20221101;RC3000p;33462;8019
20221101;C260;31515;7557
20221201;LL1100;37785;9438
20221201;LL1200;35178;6336
20221201;LV1620;48741;9735
20221201;SL1000;37851;7557
20221201;F120;39105;8217
20221201;R080;45672;8679
20221201;GP700;47883;11979
20221201;C470;39435;8283
20221201;RC3000p;37587;7887
20221201;C260;46761;10758
